Question,Correct answer,Option 1,Option 2,Option 3,Option 4,L1 tag,Difficulty 
 You are participating in developing the project charter for a new project assigned to you. Which of the following is input in Develop Project Charter?,3, Project management plan, Communication management plan, A Contract, Stakeholder management plan,Planning,Medium
" You are a project manager working on a project when the customer wants another feature added to the product. However, there is no additional budget for the new feature. As a project manager what should you do next?",2, Ask your manager for guidance, Follow the contract change control process, Remove some other feature and add the new feature, Negotiate with the customer to provide additional funding for the new feature,Monitoring & Controlling,Hard
Q3: You are a project manager running a public transportation system project. A strike by local workers occurs due to the lateness workers' payments. That leads to delays in a major component delivery. What could have been done differently to prevent this type of situation?,2, Crashing, What-If Scenario Analysis, Leads and Lags, Fast-Tracking,Executing,Medium
"Q4: The sponsor of your project is particularly interested in reviewing the roles of different stakeholders on the project. As a project manager, you should direct the sponsor of the project one of the following document?",2, Stakeholder’s engagement assessment matrix, Stakeholder Register, Stakeholder management plan, Project Team Directory,Monitoring & Controlling,Easy
"Q5: During project managers meeting in your organization, they were discussing a project management methodologies subjects such as agile and waterfall, they were discussing one of the followings:",1, Project life Cycle, Product life cycle, Project management plan, Change management plan,Executing,Easy
"Q6: you are a project manager in the implementation phase, if the project sponsor has told the functional manager that the project will delay by two weeks, and the Functional Manager has told you to document that, which type of organizational structure you are working in?",1, Functional, Projectized, Matrix, Tight Matrix,Executing,Medium
Q7: You are the Project Manager and are currently in the monitoring process group. You and your team are trying to identify the relationship between an independent variable and the dependent variable by plotting their values on a diagram. One of your team members asks you what is this diagram known as?,4, Ishikawa diagrams, Pareto charts, Cause and Effect diagram, Scatter diagram,Monitoring & Controlling,Easy
Q8: You are a project manager in a construction project. One of the key stakeholders expressed surprise to you because being informed of a previously published a change request to a project deliverable. All other stakeholders received notification of a change request. What could have been done to prevent this type of situation?,1, Review the communication management plan, Inform the stakeholder of the date when the change was approved, Ignore the key stakeholder, Address the situation in the next steering committee meeting,Executing,Medium
"Q9: One of the tasks that completed at the start of a project is to conduct the first project meeting, known as the project kick-off meeting. What’s the purpose of the project kick-off meeting?",2, It introduces the project goals/objectives, The project manager gain the commitment from the key stakeholders, Approved project charter, Discuss the Project Schedule,Executing,Easy
"Q10: You are a project manager for a construction project. Only 85% of the total works has completed, and the project spent the budget due to the change in the cost of materials. If the material cost was US $ 7. 00, and your estimate is US $ 10.00. If the cost of the materials has reached US $ 16.00, what should your estimation of the material have been to prevent this situation?",3, US $11.0, US $10.33, US $10.50, US $16.0,Monitoring & Controlling,Hard
Q11: Chris is a project manager for a large construction company. Risk management is a large part of what you manage. Your management instructs you to focus on the business risks and informs you they will focus on the pure risks. How is your organization most likely to deal with pure risks?,1, Buy insurance, Build contingency into the budget, Build contingency into the schedule, Hire more staff,Planning,Medium
Q12: The preferred method to settle claims and disputes in the project is:,3, Arbitration, Mediation, Negotiation, Litigation,Monitoring & Controlling,Medium
"Q13: Based on the diagram below, the project is currently:",3, Ahead of schedule and under budget, Ahead of schedule and over budget, Behind schedule and over budget, Behind schedule and under budget,Monitoring & Controlling,Medium
Q14: You are developing the project charter for a new project assigned to you. Which of the following is input in Develop Project Charter?,1, Historical information and lessons learned knowledge base, Project Management Plan, Work performance reports, Change Requests,Initiating,Medium
"Q15: While managing a project, you decide to create a prototype of your product first to ensure that it is acceptable to stakeholders before creating your product. Creating a prototype is an example of:",1, Risk mitigation, Risk avoidance, Monte Carlo simulation, Project assumptions testing,Planning,Medium
"Q16: the project manager has just received change request from the customer . The project manager realizes that if approved this change will increase the project cost by $30,000. What is the project manager should do next?",4, reject the change, make the change as soon as possible, get the change approved internally first, see how the change effects the other project constraints,Monitoring & Controlling,Medium
"Q17: One of the stakeholders on the project, led a change request a month back. He reached out to the project manager stating that he has not received any response yet. How can this situation be resolved?",3, By reviewing the issue log, By reviewing the stakeholder register, By reviewing the perform integrated change control process, Reach out to your team lead to understanding why it was miss,Monitoring & Controlling,Medium
"Q18: as a project manager in a construction project, if the Project Sponsor tells you that the project will be terminated because of Stumbled in the credit limit of the bank. What could have done to prevent this type of situation?",1, Funding Limit Reconciliation, Reserve Analysis, Critical path method, Critical chain method,Closing,Medium
Q19: You are a project manager of a large construction project for the government. The customer is asking for multiple scope changes. You are considering these requested changes and trying to determine their true magnitudes. You are most likely to review what document?,1, The WBS, Cost management plan, The project charter, Scope management plan,Monitoring & Controlling,Hard
Q20: Rework is an example of a (an):,2, External failure cost, Internal failure cost, Appraisal cost, Prevention cost,Planning,Easy
"Q21: You are the project manager of a large, complex, multi-year project. In the past, you have planned out all the details of the activities early in the project . For your current project you are more likely to do progressive elaboration through:",1, Rolling wave planning, Templates, WBS, Scope management,Planning,Medium
Q22: Training is an example of a (an):,3, Internal failure cost, External failure cost, Prevention cost, Appraisal cost,Quality Management,Easy
Q23: Scrap considered as,3, prevention cost, appraisal cost, internal failure cost, external failure cost,Quality Management,Easy
Q24: A statistical method used to determine optimal conditions for producing the product called?,1, Design of experiments, Benchmarking, Cost-benefit analysis, Porto-type,Quality Management,Hard
